source,date,raw_text,is_youtube,is_blog,is_cafe,is_churn,is_positive,is_medical_frame,is_ingredient_frame,is_comparison_frame,is_competitor,churn_score,positive_score,segment
blog,2026-04-15,헤드앤숄더 퍼퓸 프레쉬 샴푸 직접 써보고 생각이 바뀐 이유 알고리즘이 추천해준 구성과 첫인상 사실 인스타에서 누가 헤드앤숄더 샴푸가 세정력 끝판왕이라고 헤드앤숄더 퍼퓸 프레쉬 샴푸,0,1,0,0,1,0,0,0,0,0,1,Loyal
blog,2026-04-14,연남 미용실 에이노이헤어 연남점 시그니처 클리닉 받고 온 후기 마포 연남 미용실 에이노이헤어 연남점 시그니처 클리닉 받고 온 후기 땡하 안녕하세요 땡글이입니다 제가 최근 지인의 추,0,1,0,0,1,0,0,0,0,0,1,Loyal
blog,2026-04-14,지루성 두피염 15년차의 내돈내산 샴푸 추천 리스트 올리브영 등 목차는 제 기준 가려움증 개선에 도움줬던 샴푸 순서대로 라보에이치 샴푸 헤드앤숄더 샴푸 괜찮아지셨다는 후기 를 보고,0,1,0,0,0,0,0,0,0,1,1,Passive User
blog,2026-04-14,헤드앤숄더 토탈 솔루션 샴푸 솔직 후기 두피열까지 잡아줌 그래서 고민 끝에 선택한 제품이 바로 헤드앤숄더 토탈 솔루션 가려운 두피 케어 샴푸예요 워낙 판매량도 많고 후기 도 좋아서,0,1,0,0,0,0,0,0,0,0,0,Passive User
blog,2026-04-14,두피가 가려운 원인과 일상 대처법 알아보기 가려움을 해결을 33 헤드앤숄더 가려운 두피 케어 두피 트리트먼트 400ml 1개 122 938개 후기 상품특징 가려운 두피 진정 효과 ,0,1,0,1,0,0,1,0,0,1,0,At-risk
blog,2026-04-13,오래 쓰는 헤드앤숄더 두피 토탈 솔루션 딥클린 샴푸 1 2L 오래 쓰는 헤드앤숄더 두피 토탈 솔루션 딥클린 샴푸 1 2L 1개 사용하기 편한 제품 헤드앤숄더 두피 세브란스에이투 전,0,1,0,0,1,0,0,0,0,0,1,Loyal
blog,2026-04-13,두피 스케일링 끝판왕 헤드앤숄더 딥클린 샴푸로 고민 끝 두피 스케일링을 받은 듯 개운함을 선사하는 헤드앤숄더 두피 토탈 솔루션 샴푸 딥클린 을 소개합니다 두피 고민 끝 산뜻함 유지,0,1,0,0,0,0,0,0,0,0,0,Passive User
blog,2026-04-13,두피 묵은 답답함 끝 딥클린의 시원한 해답 헤드앤숄더 매일 머리를 감아도 찝찝하거나 가려움을 느끼신다면 오늘 소개해 드릴 헤드앤숄더 두피 토탈 솔루션 유지된다는 후기 가 많습니다 ,0,1,0,1,0,0,0,0,0,1,0,Passive User
blog,2026-04-13,헤드 엔 숄더 샴푸 추천 BEST3 비듬 고민 끝 삶의 질 수많은 제품 중에서도 특히 인기가 많고 후기 가 검증된 헤드 엔 숄더 샴푸 인기 품목 TOP 3를 꼼꼼하게 비교해 드릴게,0,1,0,0,1,0,0,1,0,0,1,Loyal
blog,2026-04-13,헤드앤숄더 쿨멘솔 샴푸로 가려운 두피를 시원하게 진정시키기 마지막으로 헤드앤숄더 쿨멘솔 샴푸는 가격 대비 성능이 우수해 가성비가 뛰어납니다 많은 소비자들이 긍정적인 후기 를 남기고,0,1,0,1,0,0,0,0,0,1,0,Passive User
blog,2026-04-13,쿠팡 골드박스 모음 할인율 대박 상품들 2026 04 13 홈스타락스와세제 헤드앤숄더 두피토 부케가르니모이스 그린핑거촉촉한자 순수한면제로생리 긍정적 후기 요약 깨끗한나라 순수시그니,0,1,0,0,0,0,0,0,0,0,0,Passive User
