Topic,Count,Name,Representation,Representative_Docs
0,445,0_약산_마사지_제품_지루성두피염,"['약산', '마사지', '제품', '지루성두피염', '향기', '건조', '추천', '편안', '건강', '머리']","['헤드앤숄더 쿨멘솔 샴푸 추천 가려움과 비듬 완화 후기 이 제품을 추천하는 이유와 이처럼 헤드앤숄더 쿨멘솔 샴푸 는 가려운 두피와 비듬 샴푸 두피 진정에 효과적인 제품으로 많은 후기 와 사용 기를 통해 그 효과를 인정받았어요 저 역시 몇 주간 사용 하면서 두피가', '유세린 더모 카필레르 카밍 우레아 샴푸 사용 후기 샴푸 를 사용한 후 몇 주가 지나면서 두피 와 머릿결 모두 건강해진 느낌이 들었어요 비듬이 줄어들고 두피 의 각질 도 많이 개선되었던 것 같습니다 그렇게 매일 사용하면서 저에게 맞는 제품이라는 확신이 들었고', '헤드앤숄더 샴푸 추천 가려운 두피 케어 토탈 솔루션 후기 그래서 이번에 사용해 본 제품이 바로 헤드앤숄더 토탈 솔루션 가려운 두피 케어 샴푸예요 대용량에 두피가 예민한 편이라면 일반 샴푸 대신 이런 두피 케어 샴푸를 사용해 보는 것도 좋은 방법이라고']"
1,303,1_바디워시_지성두피라_헤드엔숄더_두피스케일러,"['바디워시', '지성두피라', '헤드엔숄더', '두피스케일러', '스트렝스', '요즘', '지금', '안티트로', '헤드', '쿨멘솔']","['와 탈모샴푸 쓰는데 설페이트 있어요 어쩐지 머리 겁나게 빠지더라니 버려야겠네요', '두피에 좋은 샴푸 추천좀 해주세요 ㅠㅠ 비듬 신경쓰면 탈모 걱정되고 둘다 잡은거 없나요 비듬 샴푸 쓰면 탈모 샴푸 가 아니고 탈모 샴푸 사서 쓰고있는데 비듬 이 생겨요 아놔 진짜 미치겠어요 ㅠㅠ 비듬 이 왜이렇게 생기는지 머리카락도 자꾸 빠지구요 ㅠㅠ 헤드엔숄더가 제일 괜찮나요 아니면 티에스', '헤드앤숄더 X 지원 이벤트 1 두피관련 고민 댓글로 남기기 2 끝 유튜브 커뮤니티 5 29 당발 10명 예전부터 내 영상 봤다 나 헤드앤숄더 계속 쓰는거 알거임 ㅇㅈ 지루성두피염 비듬 떡짐 두피 고민 한번에 싹 모두 헤드앤숄더로 구원 받으세요 1 헤드앤숄더 프로페셔널 오일 컨트롤 지성용 2 헤드앤숄더 프로페셔널 가려운 투피 케어 건성용 건강한 두피 뽀송뽀송한 머릿결 두피 각질 케어 효과 두피 장벽 강화 유효성분 5 23 오전 10시부터 네쇼라 헤드앤숄더 브랜드데이 진행 네이버에 헤드앤숄더 검색하고 특가 이벤트 보기 샴푸추천 비듬없애는법 두피각질 헤드앤숄더프로페셔널']"
2,121,2_휴대_가격_무료_구매,"['휴대', '가격', '무료', '구매', '배송', '할인', '팬츠', '아이템', '제품', '제공']","['순비기 0평점을 주셨습니다 상품 후기 보기 옵션 헤드앤숄더 클리니컬 스트랭스 비듬 가려움 완화 시트 차콜 멜로스타 잭앤질 새틴장식 로퍼 플랫슈즈 JA0145 최저가 35200원 최대 1 760원 적립 구매자', '수요일밤 구매시 타프스크린 0평점을 주었습니다 상품 후기 보기 옵션 오리지널 헤드앤숄더 클리니컬 스트렝스 비듬 샴푸 2종 차콜 AC845009 최저가 179000원 최대 1 790원 적립 실구매자 26분이상이 5 0평점을 주었습니다', '최저가 비틀즈 lp판 소파 차콜 다크그레이 아트조이 DIY 보석십자수 30 x 40 cm 최저가격 12900원 최대 129원 적립 실구매자 0평점을 주셨습니다 제품 후기 보기 옵션 NEW 헤드앤숄더 클리니컬 스트렝스 비듬 가려움 완화']"
3,86,3_비듬_지루성두피염_비듬클리너_머릿결,"['비듬', '지루성두피염', '비듬클리너', '머릿결', '자극', '수분', '샴프', '찌꺼기', '건조', '습관']","['비듬 없애는 방법 찾아서 비듬 없애는 방법 찾아보면서 하나씩 해보고 있어요 두피 스케일링도 따로 해보고 샴푸 도 바꿔보고 하는데 요즘 너무 춥고 건조해서 그런건지 두피 가렵고 비듬 이 계속 생기네요ㅠ 그렇다 지성이 아닌건 아니라서', '비듬 없애는 방법 괜찮은거 있나요ㅠㅠ 그래서 비듬 없애는 방법 계속 찾아보는 중인데 샴푸 바꾸라는 글도 있고 두피 보습하라는 말도 있고 도대체 뭐가 맞는 건지 모르겠네요 비듬 없애는 방법 제대로 안 잡으면 점점 더 심해질까봐 걱정도 되고요 요즘은', '비듬 없애는 방법 공유 비듬 없애는 방법 두피가 건조한데 또 기름은 잘지고 비듬 이 머리를 감아도 계속 생겨서 비듬 샴푸 를 써도 차도가 없었거든요 오히려 자극만 오는 느낌 과에가서 물어보니까 비듬 균을 없애야 발현을 멈춘다고하네요']"
4,77,4_머리숱_헤어_머리카락_지루성 피부염,"['머리숱', '헤어', '머리카락', '지루성 피부염', '피부염', '피부', '머리', '잔머리', '염증', '얼굴']","['저도 두피에 염증 뾰루지 잘나고 요즘은 머리가 너무 많이 빠지는거 같아서 고민이었는데 킹스파워블랙샴푸 쓰면서 두피 염증 비듬이 다 사라지더라구요 거기다 중요한건 탈모가 멈췄어요 처음 감으면 좀 뻣뻣하다 싶었는데 그러고선 평소 빠지던거 1 5밖에 안빠지구요 머리카락도 굵어지면서 머리카락에 힘이 생기네요 덕분에 머리숱도 훨씬 더 풍성해보이고 헤어 뿌리부터 볼륨이 확 생겨서 스타일이 정말 사는거 같아요 두피 염증 비듬은 옛일이 됐고 요즘은 외출해서 헤어 볼때마다 너무 만족스러워요 저처럼 두피 염증 탈모 비듬 심하고 머리에 힘 없는 분들은 킹스파워샴푸 정말 추천드려요', '저도 두피에 염증 뾰루지 잘나고 요즘은 머리가 너무 많이 빠지는거 같아서 고민이었는데 킹스파워블랙샴푸 쓰면서 두피 염증 비듬이 다 사라지더라구요 거기다 중요한건 탈모가 멈췄어요 처음 감으면 좀 뻣뻣하다 싶었는데 그러고선 평소 빠지던거 1 5밖에 안빠지구요 머리카락도 굵어지면서 머리카락에 힘이 생기네요 덕분에 머리숱도 훨씬 더 풍성해보이고 헤어 뿌리부터 볼륨이 확 생겨서 스타일이 정말 사는거 같아요 두피 염증 비듬은 옛일이 됐고 요즘은 외출해서 헤어 볼때마다 너무 만족스러워요 저처럼 두피 염증 탈모 비듬 심하고 머리에 힘 없는 분들은 킹스파워샴푸 정말 추천드려요', '저도 두피에 염증 뾰루지 잘나고 요즘은 머리가 너무 많이 빠지는거 같아서 고민이었는데 킹스파워블랙샴푸 쓰면서 두피 염증 비듬이 다 사라지더라구요 거기다 중요한건 탈모가 멈췄어요 처음 감으면 좀 뻣뻣하다 싶었는데 그러고선 평소 빠지던거 1 5밖에 안빠지구요 머리카락도 굵어지면서 머리카락에 힘이 생기네요 덕분에 머리숱도 훨씬 더 풍성해보이고 헤어 뿌리부터 볼륨이 확 생겨서 스타일이 정말 사는거 같아요 두피 염증 비듬은 옛일이 됐고 요즘은 외출해서 헤어 볼때마다 너무 만족스러워요 저처럼 두피 염증 탈모 비듬 심하고 머리에 힘 없는 분들은 킹스파워샴푸 정말 추천드려요']"
5,29,5_머리숱_머리카락_피부과_염피부과,"['머리숱', '머리카락', '피부과', '염피부과', '건강', '마사지', '건조', '잔머리', '진료', '추천']","['두피샴푸 알아보다가 두피 건강이 안 좋으면 탈모가 온다고 하더라고요 탈모부터 지켜야겠다 생각해 모미래 핑크솔트 탈모샴푸 쓰고 있습니다 두피 정리도 잘 되고 머리카락도 덜 빠져서 미리 관리하길 잘한 것 같아요 머릿결도 좋아지고 가려움도 없어져서 일석이조예요 요즘은 거울 볼 때마다 기분이 좋아요 ㅎㅎ 두피랑 탈모 둘 다 잡고 싶으신 분들 핑크솔트 탈모샴푸 추천드려요', '두피샴푸 알아보다가 두피 건강이 안 좋으면 탈모가 온다고 하더라고요 탈모부터 지켜야겠다 생각해 모미래 핑크솔트 탈모샴푸 쓰고 있습니다 두피 정리도 잘 되고 머리카락도 덜 빠져서 미리 관리하길 잘한 것 같아요 머릿결도 좋아지고 가려움도 없어져서 일석이조예요 요즘은 거울 볼 때마다 기분이 좋아요 ㅎㅎ 두피랑 탈모 둘 다 잡고 싶으신 분들 핑크솔트 탈모샴푸 추천드려요', '두피샴푸 알아보다가 두피 건강이 안 좋으면 탈모가 온다고 하더라고요 탈모부터 지켜야겠다 생각해 모미래 핑크솔트 탈모샴푸 쓰고 있습니다 두피 정리도 잘 되고 머리카락도 덜 빠져서 미리 관리하길 잘한 것 같아요 머릿결도 좋아지고 가려움도 없어져서 일석이조예요 요즘은 거울 볼 때마다 기분이 좋아요 ㅎㅎ 두피랑 탈모 둘 다 잡고 싶으신 분들 핑크솔트 탈모샴푸 추천드려요']"
6,24,6_헤어케어템_헤어_머리카락_마사지,"['헤어케어템', '헤어', '머리카락', '마사지', '추천', '케어', '건강', '활용', '진정', '수분']","['컨디션 탈모 완화 샴푸 HAMOCELL 더블유 헤어 로스 샴푸 후기 이런 분들께 추천 정수리 탈모 초기 고민이 있는 분 지성 탈모 샴푸 찾는 분 두피 샴푸 추천 제품 찾는 분 비듬 클렌징 중요하게 생각하는 분 데일리 헤어 케어 루틴용으로 부담 없는 제품 찾는', '오늘 영상에서는 제가 실제로 써보고 효과 좋다고 느낀 두피 집중 샴푸 루틴 5단계 와 탈모랑 두피관리에 도움된 제품들 내돈내산 을 하나씩 소개 리뷰해보았어요 비싼 헤어케어제품부터 저렴이들까지 다 써보면서 헤어라인 시술 후 탈모관리도 같이 해보는 중이에요 이거 진짜 현실 후기라 도움이 되실 거예요 궁금한 부분은 댓글 남겨주기 의도적인 타사 추천 광고 댓글은 지우고있어요 영상 속 제품 정보 스위스 유스트 에델바이스 발삼 클렌징 후 두피에 영양 수분감이 바로 느껴지는 제품 부드럽고 촉촉 라우쉬 스위스 허벌 헤어 토닉 샴푸 후나 아침저녁으로 두피에 톡톡 뿌려주면 진정 영양 향이 진짜 향수급이에요 너무 좋음 아윤채 리빌런싱 샴푸 두피 밸런스 잡아주는 용도로 최고 민감하거나 자주 가려운 분들한테 강추 수분감이 바로 느껴져요 닥터그루트 마이크로바이옴 바이오엑소좀 샴푸 두피 균형 케어용으로 진짜 안정감 있는 샴푸예요 민감하거나 탈모 초기에 쓰기 딱 좋아요 닥터오라클 세보클리어 세범클링스 앰플 2개입 기름지고 번들거리는 두피용 피지 잡아주면서 산뜻해져요 지성두피 분들한테 찐템 닥터포헤어 제품이 더 좋긴했어요 닥터포헤어 폴리젠 플러스 샴푸 모발 강화 볼륨 업 둘 다 잡은 샴푸 씻고 나면 두피가 깔끔하고 단단해지는 느낌이에요 그로우어스 씨슬 테라피 두피 스케일러 두피 각질 노폐물 제거용 두피가 기름지거나 찝찝할 때 주 1 2회 사용 추천 라보에이치 샴푸브러쉬 두피 마사지용 브러쉬 강도 조절하면서 부드럽게 마사지해주면 혈액순환에도 좋아요 모지 피치 핑크 비오틴 구미 귀엽고 맛있는 비오틴 젤리 안에서부터 케어하는 느낌이라 같이 챙겨먹고 있어요 이런 루틴 꾸준히 해주면 진짜 머릿결이랑 두피 컨디션이 달라져요 특히 샴푸만 바꿔도 꽤 큰 변화 느끼실 거예요 일상부터 라이프꿀팁까지 공유 화장품 트렌드에 진심 함께해요 뷰티 lover ღ ᴗ ღ 인스타그램 viva yna contact flqhs7964 naver com', '시작하는 두피 컨디션 관리 딱 맞는 더블유 헤어 로스 샴푸 추천 비듬예방 두피 보습 두피 순환 헤어케어루틴 헤어클리닉제품 두피각질 제거 두피 관리루틴 20대탈모 두피 강화 샴푸 두피 케어제품 베스트 샴푸 순한 샴푸 탈모 샴푸 탈모완화 샴푸 거품좋은 샴푸']"
7,22,7_추천_건조_머릿결_부담,"['추천', '건조', '머릿결', '부담', '머리', '선택', '트러블', '케어', '약간', '후기']","['헤드앤숄더 두피 토탈 솔루션 딥클린 샴푸 사용 후기 오늘은 제가 최근에 사용해본 헤드앤숄더 두피 토탈 솔루션 딥클린 샴푸에 대해 여러분께 솔직한 후기 를 남기려고 해요 요즘처럼 건조한 날씨에는 두피도 많이 고민이 되는데 이 샴푸로 그 고민이 어떻게 해결되었는지', '직접 비교해봤습니다 헤드앤숄더 두피 토탈 솔루션 샴푸 딥클린 최종 추천 사용 후기 를 꼼꼼히 비교해 보시고 자신에게 맞는 제품을 선택하는 것이 중요합니다 헤드앤숄더 두피 토탈 솔루션 샴푸 딥클린은 두피 고민을 가진 많은 분들에게 좋은 선택지가 될 수 있을 것 같아요 특히 딥클린', '직접 비교해봤습니다 헤드앤숄더 두피 토탈 솔루션 샴푸 딥클린 최종 추천 사용 후기 를 꼼꼼히 비교해 보시고 자신에게 맞는 제품을 선택하는 것이 중요합니다 헤드앤숄더 두피 토탈 솔루션 샴푸 딥클린은 두피 고민을 가진 많은 분들에게 좋은 선택지가 될 수 있을 것 같아요 특히 딥클린']"
8,17,8_냄새_남자아이_아기_비듬,"['냄새', '남자아이', '아기', '비듬', '머릿결', '사춘기', '조금', '초등학생', '아들', '청소년']","['초등아이 머리냄새랑 두피 비듬이 생겼어요 날이 더워서 그런건지 저희 아이가 급속도로 크고 있기도 하지만 머리 냄새가 너무 많이 나요 하 정말 비듬도 생겼고 마주할때마다 심란한데 어떻게 이 문제를 해결할 수 있을까요 선배어머님들 정보의 지혜를 주소서', '초등 남자 아이 머리 비듬 과 냄새 남자 아이 키우면서 샴푸도 비누도 많이 안쓰면서 살았는데요 와 사춘기 호르몬 강력하네요 냄새가 나기 시작하고 한나절만 지나도 떡지기 시작하고 그래서 어쩔 수 없이 샴푸를 바꿨어요 사춘기 남아들 쓰는', '청소년 아이들 비듬관리 사춘기소녀를 모시고 살고있는 엄마입니다 자기는 잘 씻는다고 하는데 왜이리 비듬이 심해지는지 혹시 청소년 아이들 비듬관리는 어찌 해주고 계신지 궁금합니다 진정 답이 없는건지 ㅠㅠ 같은반 아이들 비듬 많다고']"
9,15,9_치료_증상_클리니컬_데일리,"['치료', '증상', '클리니컬', '데일리', '케어', '경험', '효능', '여드름', '지루성두피', '자극']","['클리니컬 스트렝스 장기 3년 매일 사용자 후기 공유해 봅니다 저도 지루성 두피염이 있는데 스트렝스 유행초창기부터 효능을 봐서 계속 써왔는데 초창기 리뉴얼전 주황색부터 리뉴얼후 3가지색상 전부 써봄 이게 거의 매일 쓰다시피 하니까 저만의 부작용인지는 모르겠지만 제가 커뮤니티에 글을 남기니까 저와 비슷한 경험을 하신분이 몇분 있었습니다 제가 그리고 현재는 스트렝스를 끊고 2 3일은 일반샴푸 하루는 노비나 니조랄 같은걸 쓰고 지내고 있습니다 제가 느낀건 1 머리카락이 얇아 집니다 매일 써서 그렇다는 다른분들의 얘기도 있고 암튼 머리카락이 얇아지는 증상이 있어서 저는 현재 중단했습니다 2 매일쓰게 되면 처음 쓸때처럼 드라마틱한 효과가 없습니다 처음 쓸때는 거의 2 3일을 머리 안감아도 될정도로 효과가 좋았고 좁쌀여드름같은게 아예 없었는데 매일 쓰니까 이게 몸이 적응을 하는거 같더라구요', '클리니컬 스트렝스 장기 3년 매일 사용자 후기 공유해 봅니다 저도 지루성 두피염이 있는데 스트렝스 유행초창기부터 효능을 봐서 계속 써왔는데 초창기 리뉴얼전 주황색부터 리뉴얼후 3가지색상 전부 써봄 이게 거의 매일 쓰다시피 하니까 저만의 부작용인지는 모르겠지만 제가 커뮤니티에 글을 남기니까 저와 비슷한 경험을 하신분이 몇분 있었습니다 제가 그리고 현재는 스트렝스를 끊고 2 3일은 일반샴푸 하루는 노비나 니조랄 같은걸 쓰고 지내고 있습니다 제가 느낀건 1 머리카락이 얇아 집니다 매일 써서 그렇다는 다른분들의 얘기도 있고 암튼 머리카락이 얇아지는 증상이 있어서 저는 현재 중단했습니다 2 매일쓰게 되면 처음 쓸때처럼 드라마틱한 효과가 없습니다 처음 쓸때는 거의 2 3일을 머리 안감아도 될정도로 효과가 좋았고 좁쌀여드름같은게 아예 없었는데 매일 쓰니까 이게 몸이 적응을 하는거 같더라구요', '클리니컬 스트렝스 장기 3년 매일 사용자 후기 공유해 봅니다 저도 지루성 두피염이 있는데 스트렝스 유행초창기부터 효능을 봐서 계속 써왔는데 초창기 리뉴얼전 주황색부터 리뉴얼후 3가지색상 전부 써봄 이게 거의 매일 쓰다시피 하니까 저만의 부작용인지는 모르겠지만 제가 커뮤니티에 글을 남기니까 저와 비슷한 경험을 하신분이 몇분 있었습니다 제가 그리고 현재는 스트렝스를 끊고 2 3일은 일반샴푸 하루는 노비나 니조랄 같은걸 쓰고 지내고 있습니다 제가 느낀건 1 머리카락이 얇아 집니다 매일 써서 그렇다는 다른분들의 얘기도 있고 암튼 머리카락이 얇아지는 증상이 있어서 저는 현재 중단했습니다 2 매일쓰게 되면 처음 쓸때처럼 드라마틱한 효과가 없습니다 처음 쓸때는 거의 2 3일을 머리 안감아도 될정도로 효과가 좋았고 좁쌀여드름같은게 아예 없었는데 매일 쓰니까 이게 몸이 적응을 하는거 같더라구요']"
