scope,source,mode,topic_id,optimal_k,coherence,keywords
all,all,unigram,0,6,0.3469,"0.040*""관리"" + 0.038*""비듬"" + 0.029*""지루"" + 0.027*""탈모"" + 0.025*""스트렝스"" + 0.023*""클리니컬"" + 0.020*""효과"" + 0.020*""오일"""
all,all,unigram,1,6,0.3469,"0.055*""스트렝스"" + 0.037*""클리니컬"" + 0.037*""비듬"" + 0.035*""냄새"" + 0.027*""정수리"" + 0.022*""용량"" + 0.018*""각질"" + 0.018*""세정"""
all,all,unigram,2,6,0.3469,"0.071*""비듬"" + 0.035*""지루"" + 0.031*""케어"" + 0.023*""솔루션"" + 0.020*""토탈"" + 0.018*""클린"" + 0.014*""지성"" + 0.014*""성분"""
all,all,unigram,3,6,0.3469,"0.175*""비듬"" + 0.048*""방법"" + 0.042*""각질"" + 0.027*""효과"" + 0.016*""스트레스"" + 0.013*""프로페셔널"" + 0.011*""아이"" + 0.011*""고민"""
all,all,unigram,4,6,0.3469,"0.056*""비듬"" + 0.030*""각질"" + 0.024*""케어"" + 0.024*""뾰루지"" + 0.023*""건성"" + 0.022*""클리니컬"" + 0.017*""병원"" + 0.017*""스트렝스"""
all,all,unigram,5,6,0.3469,"0.070*""탈모"" + 0.067*""비듬"" + 0.037*""관리"" + 0.029*""케어"" + 0.026*""안티트로"" + 0.026*""효과"" + 0.021*""고민"" + 0.018*""지루"""
all,all,bigram,0,3,0.598,"0.042*""비듬_방법"" + 0.029*""토탈_솔루션"" + 0.012*""각질_제거"" + 0.012*""방법_비듬"" + 0.010*""솔루션_클린"" + 0.008*""정수리_냄새"" + 0.007*""비듬_고민"" + 0.007*""관리_방법"""
all,all,bigram,1,3,0.598,"0.050*""클리니컬_스트렝스"" + 0.019*""비듬_각질"" + 0.018*""각질_비듬"" + 0.012*""스트렝스_비듬"" + 0.011*""탈모_관리"" + 0.010*""지루_비듬"" + 0.009*""오일_컨트롤"" + 0.009*""탈모_완화"""
all,all,bigram,2,3,0.598,"0.031*""비듬_비듬"" + 0.012*""비듬_효과"" + 0.011*""맥주_효모"" + 0.010*""건성_비듬"" + 0.008*""비듬_고민"" + 0.006*""생활_습관"" + 0.006*""비듬_탈모"" + 0.006*""증상_완화"""
all,all,unibi_mix,0,7,0.3524,"0.065*""스트렝스"" + 0.051*""클리니컬"" + 0.044*""클리니컬_스트렝스"" + 0.018*""비듬"" + 0.014*""성분"" + 0.014*""안티트로"" + 0.013*""효과"" + 0.012*""지루"""
