month,total,churn,positive,competitor,churn_rate,positive_rate
2016-04,1,1,0,0,1.0,0.0
2016-08,1,1,0,0,1.0,0.0
2018-11,1,0,0,0,0.0,0.0
2018-12,1,1,0,0,1.0,0.0
2019-07,1,1,0,0,1.0,0.0
2019-11,1,0,1,0,0.0,1.0
2020-03,2,0,0,0,0.0,0.0
2020-04,1,0,1,0,0.0,1.0
2020-06,1,0,0,0,0.0,0.0
2020-10,1,0,0,0,0.0,0.0
2021-01,4,0,1,0,0.0,0.25
2021-02,2,1,0,0,0.5,0.0
2021-04,3,0,0,0,0.0,0.0
2021-06,1,0,0,0,0.0,0.0
2021-07,1,0,0,0,0.0,0.0
2021-10,1,1,0,0,1.0,0.0
2021-11,1,0,0,0,0.0,0.0
2022-06,1,0,0,0,0.0,0.0
2022-12,1,0,0,0,0.0,0.0
2023-04,1,1,0,0,1.0,0.0
2023-06,1,0,0,0,0.0,0.0
2023-07,1,0,0,0,0.0,0.0
2023-08,1,0,0,0,0.0,0.0
2023-11,1,0,0,0,0.0,0.0
2024-03,2,0,0,0,0.0,0.0
2024-08,2,0,1,0,0.0,0.5
2024-11,2,1,1,1,0.5,0.5
2025-01,1,0,0,0,0.0,0.0
2025-02,1,1,0,1,1.0,0.0
2025-03,1,0,0,0,0.0,0.0
2025-04,3,3,0,3,1.0,0.0
2025-05,1,1,0,1,1.0,0.0
2025-06,4,3,0,2,0.75,0.0
2025-07,1,0,1,0,0.0,1.0
2025-08,6,4,0,3,0.6666666666666666,0.0
2025-09,4,2,2,1,0.5,0.5
2025-10,1,1,0,1,1.0,0.0
2025-11,10,8,1,9,0.8,0.1
2025-12,7,5,1,5,0.7142857142857143,0.14285714285714285
2026-01,7,4,0,4,0.5714285714285714,0.0
2026-02,3,2,0,1,0.6666666666666666,0.0
2026-03,113,51,24,10,0.45132743362831856,0.21238938053097345
2026-04,331,88,108,14,0.26586102719033233,0.32628398791540786
